County,Year,Population,PercentChng_1960,Source
Contra Costa County,1999,928482,1.2700,DOF_E8
Contra Costa County,2000,944953,1.3102,DOF_E8
Contra Costa County,2001,962076,1.3521,DOF_E8
Contra Costa County,2002,974657,1.3828,DOF_E8
Contra Costa County,2003,984256,1.4063,DOF_E8
Contra Costa County,2004,993958,1.4300,DOF_E8
Contra Costa County,2005,1001216,1.4478,DOF_E8
Contra Costa County,2006,1007169,1.4623,DOF_E8
Contra Costa County,2007,1015672,1.4831,DOF_E8
Contra Costa County,2008,1027264,1.5115,DOF_E8
Contra Costa County,2009,1038390,1.5387,DOF_E8
Contra Costa County,2010,1049025,1.5647,DOF_E5
Contra Costa County,2011,1059495,1.5903,DOF_E5
Contra Costa County,2012,1069977,1.6159,DOF_E5
Contra Costa County,2013,1083340,1.6486,DOF_E5
Contra Costa County,2014,1097172,1.6824,DOF_E5
Contra Costa County,2015,1111143,1.7165,DOF_E5
Contra Costa County,2016,1123429,1.7466,DOF_E5
Marin County,1960,146820,,Census
Marin County,1961,154300,0.0509,DOF_E6
Marin County,1962,162100,0.1041,DOF_E6
Marin County,1963,170900,0.1640,DOF_E6
Marin County,1964,177400,0.2083,DOF_E6
Marin County,1965,184000,0.2532,DOF_E6
Marin County,1966,191600,0.3050,DOF_E6
Marin County,1967,198500,0.3520,DOF_E6
Marin County,1968,202900,0.3820,DOF_E6
Marin County,1969,207600,0.4140,DOF_E6
Marin County,1970,208652,0.4211,Census
Marin County,1971,209000,0.4235,DOF_E4
Marin County,1972,212500,0.4474,DOF_E4
Marin County,1973,214400,0.4603,DOF_E4
Marin County,1974,214400,0.4603,DOF_E4
Marin County,1975,217000,0.4780,DOF_E4
Marin County,1976,220300,0.5005,DOF_E4
Marin County,1977,222600,0.5161,DOF_E4
Marin County,1978,223700,0.5236,DOF_E4
Marin County,1979,223400,0.5216,DOF_E4
Marin County,1980,222568,0.5159,Census
Marin County,1981,222900,0.5182,DOF_E4
Marin County,1982,222800,0.5175,DOF_E4
Marin County,1983,222500,0.5155,DOF_E4
Marin County,1984,222400,0.5148,DOF_E4
Marin County,1985,220500,0.5018,DOF_E4
Marin County,1986,220800,0.5039,DOF_E4
Marin County,1987,221700,0.5100,DOF_E4
Marin County,1988,222100,0.5127,DOF_E4
Marin County,1989,224500,0.5291,DOF_E4
Marin County,1990,230096,0.5672,Census
Marin County,1992,234380,0.5964,DOF_E8
Marin County,1993,236340,0.6097,DOF_E8
Marin County,1994,237352,0.6166,DOF_E8
Marin County,1995,238053,0.6214,DOF_E8
Marin County,1996,238149,0.6220,DOF_E8
Marin County,1997,239616,0.6320,DOF_E8
Marin County,1998,241975,0.6481,DOF_E8
Marin County,1999,243767,0.6603,DOF_E8
Marin County,2000,246503,0.6789,DOF_E8
Marin County,2001,247590,0.6864,DOF_E8
Marin County,2002,247567,0.6862,DOF_E8
Marin County,2003,247342,0.6847,DOF_E8
Marin County,2004,246990,0.6823,DOF_E8
Marin County,2005,246688,0.6802,DOF_E8
Marin County,2006,246969,0.6821,DOF_E8
Marin County,2007,248025,0.6893,DOF_E8
Marin County,2008,249546,0.6997,DOF_E8
Marin County,2009,250760,0.7079,DOF_E8
Marin County,2010,252409,0.7192,DOF_E5
Marin County,2011,253964,0.7298,DOF_E5
Marin County,2012,255812,0.7424,DOF_E5
Marin County,2013,257228,0.7520,DOF_E5
Marin County,2014,260294,0.7729,DOF_E5
Marin County,2015,261798,0.7831,DOF_E5
Marin County,2016,262274,0.7864,DOF_E5
Napa County,1960,65890,,Census
Napa County,1961,67300,0.0214,DOF_E6
Napa County,1962,68600,0.0411,DOF_E6
Napa County,1963,70500,0.0700,DOF_E6
Napa County,1964,71300,0.0821,DOF_E6
Napa County,1965,72400,0.0988,DOF_E6
Napa County,1966,73100,0.1094,DOF_E6
Napa County,1967,75100,0.1398,DOF_E6
Napa County,1968,76100,0.1550,DOF_E6
Napa County,1969,77900,0.1823,DOF_E6
Napa County,1970,79140,0.2011,Census
Napa County,1971,80400,0.2202,DOF_E4
Napa County,1972,82700,0.2551,DOF_E4
Napa County,1973,85100,0.2915,DOF_E4
Napa County,1974,87500,0.3280,DOF_E4
Napa County,1975,89800,0.3629,DOF_E4
Napa County,1976,91800,0.3932,DOF_E4
Napa County,1977,94100,0.4281,DOF_E4
Napa County,1978,96300,0.4615,DOF_E4
Napa County,1979,98100,0.4888,DOF_E4
Napa County,1980,99199,0.5055,Census
Napa County,1981,99600,0.5116,DOF_E4
Napa County,1982,100600,0.5268,DOF_E4
Napa County,1983,101400,0.5389,DOF_E4
Napa County,1984,101800,0.5450,DOF_E4
Napa County,1985,102500,0.5556,DOF_E4
